name,inverted,m21,m32_NH,m23_IH,s12,s13,s23,delta_deg
NH,False,7.53e-5,2.455e-3,nan,3.07e-1,2.19e-2,5.58e-1,1.19
IH,True,7.53e-5,nan,2.529e-3,3.07e-1,2.19e-2,5.53e-1,1.19
